2026-05-25 08:27:24.624 | INFO     | threatpipe                | L117  | ======================================================================
2026-05-25 08:27:24.625 | INFO     | threatpipe                | L118  | ThreatPipe v2 — Session started  [20260525_082724]
2026-05-25 08:27:24.625 | INFO     | threatpipe                | L119  | Log file → /home/anand/Documents/agentic ai /threatpipe/logs/threatpipe_20260525_082724.log
2026-05-25 08:27:24.625 | INFO     | threatpipe                | L120  | ======================================================================
2026-05-25 08:27:25.026 | DEBUG    | threatpipe.config         | L28   | Config loaded from /home/anand/Documents/agentic ai /threatpipe/config.yaml
2026-05-25 08:27:25.026 | DEBUG    | threatpipe.config         | L29   |   llm.model        : mistral-small-latest
2026-05-25 08:27:25.026 | DEBUG    | threatpipe.config         | L30   |   graph.db_path    : ./threatpipe_evidence.db
2026-05-25 08:27:25.026 | DEBUG    | threatpipe.config         | L31   |   agent.max_cycles : 3
2026-05-25 08:27:25.026 | DEBUG    | threatpipe.config         | L32   |   web_root         : /tmp/threatpipe_evidence/www
2026-05-25 08:27:25.143 | INFO     | threatpipe.config         | L102  | Loading LLM  provider=mistral  model=mistral-small-latest
2026-05-25 08:27:25.166 | INFO     | threatpipe.config         | L117  |   ✓ MistralAI ready  model=mistral-small-latest
2026-05-25 08:27:25.188 | INFO     | threatpipe.agent          | L785  | LangGraph pipeline compiled — Phase 3 (self-correction loop active)
2026-05-25 08:27:25.191 | INFO     | threatpipe.hacker_mindset_graph | L218  | HackerMindsetGraph init — db=hacker_mindset.db
2026-05-25 08:27:25.286 | DEBUG    | threatpipe.hacker_mindset_graph | L233  | SQLite connected: hacker_mindset.db
2026-05-25 08:27:25.808 | DEBUG    | threatpipe.hacker_mindset_graph | L238  | Mindset graph tables ready
2026-05-25 08:27:25.849 | DEBUG    | threatpipe.hacker_mindset_graph | L260  | Stage nodes initialized
2026-05-25 08:27:25.850 | INFO     | threatpipe.hacker_mindset_graph | L290  | Mindset graph loaded — stages=8  transitions=0  known_ips=0
2026-05-25 08:27:25.850 | INFO     | threatpipe.stream_run     | L146  | ────────────────────────────────────────────────────────────
2026-05-25 08:27:25.850 | INFO     | threatpipe.stream_run     | L147  | STAGE 1 ▶  STAGE 1 — LLM LOG CLASSIFICATION
2026-05-25 08:27:25.850 | INFO     | threatpipe.stream_run     | L150  |   input                : realistic_attack.log
2026-05-25 08:27:25.850 | INFO     | threatpipe.stream_run     | L150  |   output               : suspicious_logs.txt
2026-05-25 08:27:25.850 | INFO     | threatpipe.stream_run     | L151  | ────────────────────────────────────────────────────────────
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L262  | stream_classify START  input=realistic_attack.log  output=suspicious_logs.txt
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L146  | ────────────────────────────────────────────────────────────
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L147  | STAGE 0 ▶  LOG STREAM CLASSIFICATION
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L150  |   input                : realistic_attack.log
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L150  |   output               : suspicious_logs.txt
2026-05-25 08:27:25.850 | INFO     | threatpipe.log_stream     | L150  |   window_budget        : ~1600 tokens
